PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Unnamed: 15
42,1970-01-09 23:17:49,0.644582211971283,-0.321214497089386,-0.4952600598335266,-0.4859083294868469,9.294694900512695,0.6282287836074829,3.044762372970581,2.416820764541626,-0.2714562118053436,-1.945950627326965,-0.370361328125,-0.81640625,-0.12060546875, 
43,1970-01-10 03:55:36,0.6445379257202148,-0.3211975991725921,-0.4950928390026092,-0.4861485958099365,9.379344940185549,0.7271528244018555,2.933840036392212,0.6611725687980652,0.3567784428596496,-1.7170110940933228,-0.367919921875,-0.81591796875,-0.116943359375, 
44,1970-01-10 08:33:23,0.6444715261459351,-0.3211714923381805,-0.4951048791408539,-0.4862416684627533,9.29737663269043,0.7346665859222412,3.082635402679444,1.742092490196228,-0.8083880543708801,-1.5699175596237185,-0.37060546875,-0.817138671875,-0.11865234375, 
45,1970-01-10 13:11:10,0.644454836845398,-0.32090625166893,-0.4951419830322265,-0.4864011704921722,9.16538429260254,0.6957581639289856,2.990739583969116,2.769277334213257,0.1958155035972595,-2.565560102462769,-0.366455078125,-0.816650390625,-0.121337890625, 
46,1970-01-10 17:48:57,0.6443929076194763,-0.3205191493034363,-0.4953202903270721,-0.4865570068359375,9.252509117126465,0.6748702526092529,2.947645425796509,3.707483530044556,-0.183822363615036,-3.4242775440216064,-0.36865234375,-0.81689453125,-0.119384765625, 
47,1970-01-10 22:26:44,0.64432293176651,-0.320280373096466,-0.4954383671283722,-0.4866867363452911,9.310273170471191,0.5990538597106934,2.921842336654663,2.912094116210937,-0.4990763366222381,-2.698106288909912,-0.366455078125,-0.8193359375,-0.123291015625, 
48,1970-01-11 03:04:31,0.6442217826843262,-0.3202177882194519,-0.4955930113792419,-0.4867041707038879,9.215246200561523,0.4901957213878631,2.979292631149292,2.585365056991577,-1.6017029285430908,-1.78229820728302,-0.3681640625,-0.81396484375,-0.121826171875, 
49,1970-01-11 07:42:18,0.6441273093223572,-0.3202494382858276,-0.4958290159702301,-0.4865679740905761,9.29548168182373,0.4521505534648895,3.02026629447937,2.9710285663604736,-2.5931198596954346,-0.9393842220306396,-0.36767578125,-0.819091796875,-0.1201171875, 
50,1970-01-11 12:20:05,0.6441218852996826,-0.3203590214252472,-0.4960305988788605,-0.4862975776195526,9.43698501586914,0.5077627897262573,3.039356470108032,3.15938401222229,-2.694033145904541,0.2934382557868957,-0.36474609375,-0.81884765625,-0.11865234375, 
51,1970-01-11 16:57:52,0.6441705822944641,-0.3205373883247375,-0.4961137473583221,-0.4860307276248932,9.417521476745604,0.5090833902359009,3.007983446121216,2.5664756298065186,-2.207007884979248,0.9532726407051086,-0.367919921875,-0.8193359375,-0.119140625, 
52,1970-01-11 21:35:39,0.6442189812660217,-0.320730447769165,-0.4961615800857544,-0.4857904314994812,9.36384391784668,0.504138171672821,2.919763326644897,2.291881799697876,-2.0416393280029297,0.962736427783966,-0.371826171875,-0.816650390625,-0.1162109375, 
53,1970-01-12 02:13:26,0.6442757844924927,-0.3209438025951385,-0.4961938858032226,-0.4855408668518066,9.325973510742188,0.5014645457267761,2.8730034828186035,2.1871516704559326,-2.034557819366455,1.131575584411621,-0.368896484375,-0.817138671875,-0.1162109375, 
54,1970-01-12 06:51:13,0.6443090438842773,-0.3211088180541992,-0.4963850378990173,-0.4851921796798706,9.329107284545898,0.5577999353408813,2.848142623901367,3.223262310028076,-2.8746414184570312,0.9764009714126588,-0.3701171875,-0.817626953125,-0.1142578125, 
55,1970-01-12 11:29:00,0.6442912220954895,-0.3212471306324005,-0.4967041015625,-0.484797716140747,9.329438209533691,0.6262469291687012,2.933985471725464,3.8060669898986816,-3.628295660018921,0.6346635818481445,-0.372314453125,-0.81494140625,-0.111328125, 
56,1970-01-12 16:06:47,0.6442522406578064,-0.3213322460651397,-0.4970638751983642,-0.4844241440296173,9.340866088867188,0.6500141620635986,2.989711284637451,4.05283260345459,-3.657378911972046,0.1974803358316421,-0.3681640625,-0.81640625,-0.114990234375, 
57,1970-01-12 20:44:34,0.6442379355430603,-0.3213269412517547,-0.4974056780338287,-0.4840956628322601,9.48919677734375,0.7103743553161621,3.0044939517974854,4.310009479522705,-3.092529058456421,-0.1835534423589706,-0.3701171875,-0.816162109375,-0.114990234375, 
58,1970-01-13 01:22:21,0.6442792415618896,-0.3211651444435119,-0.4977039098739624,-0.4838415384292602,9.44791316986084,0.827836811542511,2.935664176940918,4.726318836212158,-2.0234291553497314,-0.7677152156829834,-0.370361328125,-0.81787109375,-0.11328125, 
59,1970-01-13 06:00:08,0.6442477107048035,-0.3209221363067627,-0.4981154203414917,-0.4836211800575256,9.270968437194824,0.8592621088027954,2.838825464248657,5.184939384460449,-2.4304022789001465,-1.6872881650924685,-0.36767578125,-0.81787109375,-0.111083984375, 
